name,datetime,tempmax,tempmin,temp,feelslike,humidity,precip,windspeed,icon
Kolkata,7/13/2023,33.5,28,30.5,38.3,78.6,0.036,18.4,rain
Kolkata,7/14/2023,33,28,30.5,39.8,82.1,0.241,18.4,rain
Kolkata,7/15/2023,33,26,28.9,35.5,86.3,1.982,24.1,rain
Kolkata,7/16/2023,32,27,28.8,35.5,87.6,19.887,18.4,rain
Kolkata,7/17/2023,30.5,27,28.6,35.6,89.6,8.805,22.3,rain
Kolkata,7/18/2023,33,27,29.4,37.3,86.2,2.294,16.6,rain
Kolkata,7/19/2023,33,28,29.7,38,84.8,6.261,16.6,rain
Kolkata,7/20/2023,34,28,30.3,38.8,81.4,0.933,22.3,rain
Kolkata,7/21/2023,32.6,28,29.1,36.9,88.8,4.407,18.4,rain
Kolkata,7/22/2023,31,28,28.7,35.7,89.8,7.091,18.4,rain
Kolkata,7/23/2023,32,27,29.6,37.4,84.9,3.2,16.6,rain
Kolkata,7/24/2023,33,27,29.3,36.7,86.7,1.4,25.9,rain
Kolkata,7/25/2023,34.5,27.7,30.5,35.9,71.9,1.7,26.3,rain
